iter	Passed	Remaining
696	5023	2183
697	5029	2175
698	5035	2168
699	5040	2160
700	5048	2153
701	5053	2145
702	5059	2137
703	5065	2129
704	5070	2121
705	5076	2113
706	5082	2106
707	5088	2098
708	5093	2090
709	5101	2083
710	5106	2075
711	5111	2067
712	5118	2060
713	5123	2052
714	5129	2044
715	5135	2036
716	5140	2028
717	5146	2021
718	5152	2013
719	5157	2005
720	5163	1998
721	5169	1990
722	5175	1982
723	5181	1975
724	5187	1967
725	5192	1959
726	5199	1952
727	5205	1944
728	5211	1937
729	5216	1929
730	5222	1921
731	5228	1914
732	5234	1906
733	5239	1898
734	5246	1891
735	5251	1883
736	5257	1876
737	5264	1868
738	5269	1861
739	5277	1854
740	5283	1846
741	5288	1838
742	5295	1831
743	5301	1824
744	5308	1817
745	5314	1809
746	5319	1801
747	5326	1794
748	5332	1787
749	5337	1779
750	5344	1771
751	5349	1764
752	5355	1756
753	5361	1749
754	5367	1741
755	5372	1733
756	5378	1726
757	5384	1718
758	5390	1711
759	5395	1703
760	5401	1696
761	5407	1688
762	5412	1681
763	5418	1673
764	5424	1666
765	5429	1658
766	5435	1651
767	5441	1643
768	5446	1636
769	5452	1628
770	5459	1621
771	5464	1613
772	5470	1606
773	5476	1599
774	5481	1591
775	5488	1584
776	5493	1576
777	5499	1569
778	5506	1562
779	5511	1554
780	5517	1547
781	5524	1540
782	5529	1532
783	5535	1525
784	5541	1517
785	5546	1510
786	5552	1502
787	5558	1495
788	5563	1487
789	5569	1480
790	5575	1473
791	5580	1465
792	5587	1458
793	5592	1450
794	5598	1443
795	5605	1436
796	5611	1429
797	5617	1421
798	5622	1414
799	5628	1407
800	5634	1399
801	5639	1392
802	5645	1384
803	5651	1377
804	5657	1370
805	5662	1362
806	5668	1355
807	5674	1348
808	5680	1341
809	5687	1334
810	5692	1326
811	5698	1319
812	5704	1312
813	5710	1304
814	5717	1297
815	5722	1290
816	5728	1283
817	5734	1275
818	5740	1268
819	5747	1261
820	5754	1254
821	5760	1247
822	5766	1240
823	5775	1233
824	5784	1226
825	5792	1220
826	5802	1213
827	5810	1207
828	5821	1200
829	5832	1194
830	5842	1188
831	5852	1181
832	5861	1175
833	5870	1168
834	5879	1161
835	5888	1155
836	5899	1148
837	5908	1142
838	5918	1135
839	5927	1129
840	5936	1122
841	5945	1115
842	5953	1108
843	5963	1102
844	5971	1095
845	5981	1088
846	5990	1082
847	5999	1075
848	6009	1068
849	6018	1062
850	6029	1055
851	6038	1048
852	6049	1042
853	6059	1035
854	6067	1028
855	6076	1022
856	6085	1015
857	6095	1008
858	6104	1001
859	6114	995
860	6123	988
861	6133	981
862	6142	975
863	6151	968
864	6160	961
865	6169	954
866	6178	947
867	6193	941
868	6205	935
869	6217	929
870	6230	922
871	6242	916
872	6252	909
873	6263	903
874	6275	896
875	6285	889
876	6294	882
877	6304	876
878	6312	869
879	6323	862
880	6332	855
881	6344	848
882	6353	841
883	6361	834
884	6372	828
885	6382	821
886	6391	814
887	6400	807
888	6409	800
889	6418	793
890	6427	786
891	6437	779
892	6446	772
893	6456	765
894	6466	758
895	6475	751
896	6484	744
897	6492	737
898	6502	730
899	6511	723
900	6520	716
901	6529	709
902	6540	702
903	6549	695
904	6557	688
905	6567	681
906	6575	674
907	6585	667
908	6593	660
909	6604	653
910	6614	646
911	6624	639
912	6634	632
913	6642	625
914	6652	618
915	6661	610
916	6670	603
917	6679	596
918	6688	589
919	6698	582
920	6707	575
921	6716	568
922	6725	561
923	6734	553
924	6747	547
925	6755	539
926	6767	532
927	6777	525
928	6786	518
929	6797	511
930	6806	504
931	6816	497
932	6826	490
933	6836	483
934	6846	475
935	6855	468
936	6866	461
937	6876	454
938	6885	447
939	6899	440
940	6909	433
941	6919	426
942	6930	418
943	6940	411
944	6950	404
945	6960	397
946	6969	390
947	6979	382
948	6989	375
949	6999	368
950	7009	361
951	7018	353
952	7028	346
953	7039	339
954	7050	332
955	7061	325
956	7071	317
957	7080	310
958	7091	303
959	7101	295
960	7111	288
961	7121	281
962	7131	273
963	7141	266
964	7152	259
965	7162	252
966	7172	244
967	7181	237
968	7195	230
969	7205	222
970	7215	215
971	7225	208
972	7236	200
973	7246	193
974	7258	186
975	7268	178
976	7277	171
977	7288	163
978	7297	156
979	7307	149
980	7317	141
981	7327	134
982	7338	126
983	7349	119
984	7358	112
985	7369	104
986	7378	97
987	7388	89
988	7398	82
989	7408	74
990	7418	67
991	7427	59
992	7437	52
993	7448	44
994	7458	37
995	7470	30
996	7481	22
997	7492	15
998	7504	7
999	7515	0
